"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"F4,F1,F2,F3";"Fuseholder_TR5_Littelfuse_No560_No460";4;"Fuse_Small";;;
2;"R1,R2,R3,R4";"R_1206_3216Metric";4;"1k";;;
3;"C1,C2";"C_1206_3216Metric";2;"10uF";;;
4;"C3,C4";"C_1206_3216Metric";2;"100nF";;;
5;"C5,C6";"C_1206_3216Metric";2;"10nF";;;
6;"C7,C8";"C_1206_3216Metric";2;"0.1uF";;;
7;"D1,D2";"LED_D5.0mm";2;"LED_Small";;;
8;"J1,J2,J3,J4";"Altech_AK300_1x02_P5.00mm_45-Degree";4;"Conn_01x02";;;
9;"SW1,SW2";"SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm";2;"SW_DIP_x01";;;
10;"U1";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
11;"U2";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
12;"Q1,Q2";"TO-92_Inline";2;"2N3904";;;
